gender,event,medal,athlete,abb,country,grp_id,type,year,guide
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,,,Archery,1980,
Men,Double FITA Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,,,Archery,1980,
Men,Double FITA Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,,,Archery,1980,
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,,,Archery,1980,
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,,,Archery,1980,
Women,Double FITA Round Amputee,Gold,ROSVIK Marie,NOR,,,Archery,1980,
Women,Double FITA Round Paraplegic,Gold,FAIRHALL Neroli,NZL,,,Archery,1980,
Women,Double FITA Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,,,Archery,1980,
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,,,Archery,1980,
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,,,Archery,1980,
Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,1.0,Archery,1980,
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,,,Archery,1984,
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,,,Archery,1984,
Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,NOR,,,Archery,1984,
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,,,Archery,1984,
Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,,,Archery,1984,
Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,,,Archery,1984,
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,,,Archery,1984,
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,,,Archery,1984,
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,,,Archery,1984,
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,,,Archery,1984,
